19,Autopilot_Model,./Autopilot/,Autopilot_Req_1_10_1,"Psi,HDGRef",T=200000, Autopilot model,A full six degree of freedom simulation of a single-engined high-wing propeller-driven airplane with autopilot.A six degree of freedom simulation enables movement and rotation of a rigid body in three-dimensional space.,Steady state heading commands shall be tracked within 1 degree in calm air,2
20,Autopilot_Model,./Autopilot/,Autopilot_Req_1_10_2,"Psi,HDGRef",T=200000, Autopilot model,A full six degree of freedom simulation of a single-engined high-wing propeller-driven airplane with autopilot.A six degree of freedom simulation enables movement and rotation of a rigid body in three-dimensional space.,Response to heading step commands shall not exceed 10% overshoot in calm air,1
23,EB_Model,./EB/,EB_Req_4,Buminusd,T=200000,,,The 2-norm of the output Buminusd should be less than 0.01.,1
26,Euler_Model,./Euler/,Euler_Req_3,"Vb,VI",T=200000,,,"The magnitude of the Body Vector Output, Vb, shall equal the magnitude of the Input Inertial Vector, VI.",4
27,Euler_Model,./Euler/,Euler_Req_4,DCM321,T=200000,,,"The Rotation Matrix, DCM321, shall be invertible with the exception of the case where Theta = +/- pi/2 radians",3
28,Euler_Model,./Euler/,Euler_Req_5_1,"Vb,VI,Phi,Psi,Theta",T=200000,,,"The Rotation Matrix, DCM321, shall provide a distinct mapping from the input vector, VI, to the output vector, Vb, for each pitch angle, Theta. Note: the DCM321 is not distinct for all Phi and Psi inputs",3
31,Euler_Model,./Euler/,Euler_Req_8,DCM321,T=200000,,,"The Rotation Matrix, DCM321, shall be invertible with the exception of the case where Theta = +/- pi/2 radians",3
55,Twotanks_Model,./Twotanks/,Twotanks_Req_1_1,"Tank1Height,, Tank1CrossSec;","T=200000,", Two Tanks model,"The two tanks system contains two separate tanks holding liquid and connected via a pipe. The flow of incoming liquid into the first tankis controlled using a pump. The flow of liquid from the first tank to the second is controlled using a valve, and the flow of outgoingliquid from the second tank is controlled using two different valves",Tank 1 shall not overflow.,3
56,Twotanks_Model,./Twotanks/,Twotanks_Req_1_2,"Tank2Height, Tank2CrossSec;","T=200000,", Two Tanks model,"The two tanks system contains two separate tanks holding liquid and connected via a pipe. The flow of incoming liquid into the first tankis controlled using a pump. The flow of liquid from the first tank to the second is controlled using a valve, and the flow of outgoingliquid from the second tank is controlled using two different valves",Tank 2 shall not overflow.,3
67,Twotanks_Model,./Twotanks/,Twotanks_Req_1_16,"Tank1Height, TimeIncrement, Tank1ValveFlow, Tank1PumpFlow, Tank1CrossSec;",T=200000, Two Tanks model,"The two tanks system contains two separate tanks holding liquid and connected via a pipe. The flow of incoming liquid into the first tankis controlled using a pump. The flow of liquid from the first tank to the second is controlled using a valve, and the flow of outgoingliquid from the second tank is controlled using two different valves",The tank 1 is initially empty or below the low tank 1 liquid height sensor. If the tank is not empty the liquid height must be known to the system.,3
68,Twotanks_Model,./Twotanks/,Twotanks_Req_1_17,"Tank1Height, Tank1ValveFlow, Tank1PumpFlow, TimeIncrement, Tank1CrossSec, Pump_State, Valve_State;",T=200000, Two Tanks model,"The two tanks system contains two separate tanks holding liquid and connected via a pipe. The flow of incoming liquid into the first tankis controlled using a pump. The flow of liquid from the first tank to the second is controlled using a valve, and the flow of outgoingliquid from the second tank is controlled using two different valves",The tank 1 resulting liquid height for each timestep is dependent on the liquid height in the previous timestep plus the additional liquid height defined by the net flow rate from the state of the pump and the valve and the cross-sectional area of tank 1.,3
86,Swim_Model,./Swim/,Swim_Req_1,"CatSwitchPosition, CalAirspeedmin, AircraftGrossWeight;",T=2000,System Wide Integrity Monitor model,A numerical algorithm that computes warning to an operator when the airspeed is approaching a boundary where an evasive fly up maneuver cannot be achieved.,The SWIM Airspeed algorithm shall output the minimum AGCAS airspeed required to perform a 2g,3
89,Regulators_Model,./Regulators/,Regulators_Req_1,lcvdt_cmd_fcs_dps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Roll Regulator Shall not command angular roll accelerations greater than the capability of the system (50 deg/sec2) for durations exceeding 100 frames (1 second @ 100 hz).,2
90,Regulators_Model,./Regulators/,Regulators_Req_2,mcvdt_cmd_fcs_dps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Pitch Regulator Shall not command angular roll accelerations greater than the capability of the system (50 deg/sec2) for durations exceeding 100 frames (1 second @ 100 hz).,2
91,Regulators_Model,./Regulators/,Regulators_Req_3,ncvdt_cmd_fcs_dps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Yaw Regulator Shall not command angular roll accelerations greater than the capability of the system (50 deg/sec2) for durations exceeding 100 frames (1 second @ 100 hz).,2
92,Regulators_Model,./Regulators/,Regulators_Req_4,xcvdt_cmd_fcs_fps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Airspeed Regulator Shall not command angular roll accelerations greater than the capability of the system (32 deg/sec2) for durations exceeding 100 frames (1 second @ 100 hz).,2
93,Regulators_Model,./Regulators/,Regulators_Req_5,hcvdt_cmd_fcs_fps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Height Regulator Shall not command angular roll accelerations greater than the capability of the system (32 deg/sec2) for durations exceeding 100 frames (1 second @ 100 hz).,2
94,Regulators_Model,./Regulators/,Regulators_Req_6,lcvdt_cmd_fcs_dps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Roll Regulator Shall not command transient changes in angular roll acceleration greater than 50 deg/sec2/sec.,2
95,Regulators_Model,./Regulators/,Regulators_Req_7,mcvdt_cmd_fcs_dps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Pitch Regulator Shall not command transient changes in angular roll acceleration greater than 50 deg/sec2/sec.,2
96,Regulators_Model,./Regulators/,Regulators_Req_8,ncvdt_cmd_fcs_dps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Yaw Regulator Shall not command transient changes in angular roll acceleration greater than 50 deg/sec2/sec.,2
97,Regulators_Model,./Regulators/,Regulators_Req_9,xcvdt_cmd_fcs_fps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Airspeed Regulator Shall not command transient changes in angular roll acceleration greater than 32 deg/sec2/sec.,2
98,Regulators_Model,./Regulators/,Regulators_Req_10,hcvdt_cmd_fcs_fps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Height Regulator Shall not command transient changes in angular roll acceleration greater than 32 deg/sec2/sec.,2
33,FSM_Model,./FSM/,FSM_Req_2,"Standby,state;",T=2000,,,The autopilot shall change states from TRANSITION to STANDBY when the pilot is in control (Standby).,5
34,FSM_Model,./FSM/,FSM_Req_3,"Supported,state,good",T=2000,,,The autopilot shall change states from TRANSITION to NOMINAL when the system is Supported and sensor data is good.,5
35,FSM_Model,./FSM/,FSM_Req_4,"state,good;",T=2000,,,The autopilot shall change states from NOMINAL to MANEUVER when the sensor data is not good,5
36,FSM_Model,./FSM/,FSM_Req_5,"state,Standby;",T=2000,,,The autopilot shall change states from NOMINAL to STANDBY when the pilot is in control (Standby).,5
37,FSM_Model,./FSM/,FSM_Req_6,"state, good, Standby;",T=2000,,,The autopilot shall change states from MANEUVER to STANDBY when the pilot is in control (Standby) and sensor data is good,5
38,FSM_Model,./FSM/,FSM_Req_7,"state, good, Supported;",T=2000,,,The autopilot shall change states from PULLUP to TRANSITION when the system is Supported and sensor data is good,5
39,FSM_Model,./FSM/,FSM_Req_8,"state, good, Standby;",T=2000,,,The autopilot shall change states from STANDBY to TRANSITION when the pilot is not in control (not Standby),5
40,FSM_Model,./FSM/,FSM_Req_9,"state,state, Apfail;",T=2000,,,The autopilot shall change states from STANDBY to MANEUVER when a failure occurs (Apfail),5
41,FSM_Model,./FSM/,FSM_Req_10,"Limits,SENSTATE",T=2000,,,The sensor shall change states from NOMINAL to FAULT when Limits are exceeded.,5
42,FSM_Model,./FSM/,FSM_Req_11,"REQUEST,SENSTATE",T=2000,,,The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not REQUESTing support (not REQUEST).,5
43,FSM_Model,./FSM/,FSM_Req_12,"REQUEST,Limits,SENSTATE",T=2000,,,The sensor shall change states from FAULT to TRANSITION when the autopilotis not REQUESTing support (not REQUEST) and Limits are not exceeded (not Limits).,5
44,FSM_Model,./FSM/,FSM_Req_13,"REQUEST,MODE,SENSTATE",T=2000,,,The sensor shall change states from TRANSITION to NOMINAL when the autopilotis REQUESTing support (REQUEST) and the autopilot reports the correct active MODE (MODE).,5
45,NL_Model,./NL_Model/,NL_Req_6,"xtarg,yout,Xap2,vv,vt",T=2000,,,The sensor shall change states from TRANSITION to NOMINAL when the autopilotis REQUESTing support (REQUEST) and the autopilot reports the correct active MODE (MODE).,5
