"﻿sno","","","","","","","","","","","","","","","",""
"70","","","","","","","","","","","","","","","",""
"71","","","","","","","","","","","","","","","",""
"72","","","","","","limited","","","","","","","","","",""
"73","","","","","is","function","2"," tank tank","","","","","","","",""
"74","","","","","","","","","","","","","","","",""
"75","","","","","","CLOSED","","","height","","","","","","",""
"76","","","","","","","","","","","","","","","",""
"77","","","shall","","","remain","","","","","","valves","When","","and","remain"
"78","","","shall","","be","ON","","","","","","tank","When","","","ON"
"79","","","shall","","be","OFF","","","","","","sensor","When","","","OFF"
"80","","","","","","","","","","","","","","","",""
"81","","","shall","","","commanded","","","","","","sensor","When","","","commanded"
"82","","","shall","","","commanded","","","","","","sensor","When","","and","commanded"
"83","","","shall","","","commanded","","","","","","sensor","When","","","commanded"
"84","","","shall","","","commanded","","","","","","sensor","When","","and","commanded"
"85","","","shall","","","commanded","","","","","","sensor","When","","and","commanded"
"86","","","shall","","","output","","","airspeed","","","","","","",""
"87","","","","When","","allowed","","","","","","","","","",""
"88","","","","When","","allowed","","","","","","","","","",""
"89","","","Shall","not","","command","100"," frames hz","accelerations","","","","","","",""
"90","","","Shall","not","","command","100"," frames hz","accelerations","","","","","","",""
"91","","","Shall","not","","command","100"," frames hz","accelerations","","","","","","",""
"92","","","Shall","not","","command","100"," frames hz","accelerations","","","","","","",""
"93","","","Shall","not","","command","100"," frames hz","accelerations","","","","","","",""
"94","","greater than 50","Shall","not","","command","50"," deg / sec2 / sec","changes","","","","","","",""
"95","","greater than 50","Shall","not","","command","50"," deg / sec2 / sec","changes","","","","","","",""
"96","","greater than 50","Shall","not","","command","50"," deg / sec2 / sec","changes","","","","","","",""
"97","","greater than 32","Shall","not","","command","32"," deg / sec2 / sec","changes","","","","","","",""
"98","","greater than 32","Shall","not","","command","32"," deg / sec2 / sec","changes","","","","","","",""
